Event: 227743153 | orbit≈ 22774315 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743163 | orbit≈ 22774316 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743173 | orbit≈ 22774317 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743183 | orbit≈ 22774318 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743193 | orbit≈ 22774319 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743203 | orbit≈ 22774320 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743213 | orbit≈ 22774321 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743223 | orbit≈ 22774322 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743233 | orbit≈ 22774323 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743243 | orbit≈ 22774324 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743253 | orbit≈ 22774325 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743263 | orbit≈ 22774326 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743273 | orbit≈ 22774327 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743283 | orbit≈ 22774328 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743293 | orbit≈ 22774329 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743303 | orbit≈ 22774330 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743313 | orbit≈ 22774331 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743323 | orbit≈ 22774332 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743333 | orbit≈ 22774333 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743343 | orbit≈ 22774334 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743353 | orbit≈ 22774335 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743363 | orbit≈ 22774336 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743373 | orbit≈ 22774337 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743383 | orbit≈ 22774338 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743393 | orbit≈ 22774339 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743403 | orbit≈ 22774340 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743413 | orbit≈ 22774341 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743423 | orbit≈ 22774342 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743433 | orbit≈ 22774343 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743443 | orbit≈ 22774344 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743453 | orbit≈ 22774345 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743463 | orbit≈ 22774346 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743473 | orbit≈ 22774347 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743483 | orbit≈ 22774348 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743493 | orbit≈ 22774349 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743503 | orbit≈ 22774350 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743513 | orbit≈ 22774351 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743523 | orbit≈ 22774352 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743533 | orbit≈ 22774353 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743543 | orbit≈ 22774354 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743553 | orbit≈ 22774355 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743563 | orbit≈ 22774356 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743573 | orbit≈ 22774357 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743583 | orbit≈ 22774358 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743593 | orbit≈ 22774359 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743603 | orbit≈ 22774360 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743613 | orbit≈ 22774361 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743623 | orbit≈ 22774362 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743633 | orbit≈ 22774363 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743643 | orbit≈ 22774364 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743653 | orbit≈ 22774365 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743663 | orbit≈ 22774366 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743673 | orbit≈ 22774367 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743683 | orbit≈ 22774368 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743693 | orbit≈ 22774369 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743703 | orbit≈ 22774370 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743713 | orbit≈ 22774371 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743723 | orbit≈ 22774372 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743733 | orbit≈ 22774373 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743743 | orbit≈ 22774374 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743753 | orbit≈ 22774375 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743763 | orbit≈ 22774376 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743773 | orbit≈ 22774377 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743783 | orbit≈ 22774378 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743793 | orbit≈ 22774379 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743803 | orbit≈ 22774380 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743813 | orbit≈ 22774381 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743823 | orbit≈ 22774382 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743833 | orbit≈ 22774383 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743843 | orbit≈ 22774384 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743853 | orbit≈ 22774385 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743863 | orbit≈ 22774386 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743873 | orbit≈ 22774387 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743883 | orbit≈ 22774388 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743893 | orbit≈ 22774389 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743903 | orbit≈ 22774390 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
